id	name	type	maintenance_responsibility	park	street	image	neighborhood	council_district	ward	tract	public_works_division	pli_division	police_zone	fire_zone	latitude	longitude
1988563903	Sheraden Upper Playground		Parks - Western	Sheraden Park	SURBAN AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Sheraden_Upper_Playground.jpg	Sheraden	2	20	42003562500	5	20	6	1-16	40.45581278	-80.05734327
351955429	Southside Playground		Parks - Southern	Southside Park	KIMBOL ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Southside_Playground.jpg	South Side Slopes	3	17	42003170600	3	17	3	4-22	40.42060205	-79.98170366
387216005	Spring Hill Playground		Parks - Northern	Spring Hill Park	SOUTH SIDE AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Spring_Hill_Playground.jpg	Spring Hill-City View	1	26	42003262000	1	26	1	1-11	40.47010724	-79.99366534
296992435	Joseph Kukuruda Playground		Parks - Western	Andrew Joseph Kukuruda Park	STRATMORE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Joseph_Kukuruda_Playground.jpg	Crafton Heights	2	28	42003281500	5	28	6	1-18	40.43929809	-80.05599489
569607016	Sue Murray Playground		Parks - Northern	Allegheny Commons	CEDAR AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Sue_Murray_Playground.jpg	Allegheny Center	1	22	42003562700	1	22	1	1-6	40.4516329	-80.00155154
31215382	Swisshelm Playground		Parks - Eastern	Swisshelm Park	ONONDAGO ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Swisshelm_Playground.jpg	Swisshelm Park	5	14	42003141100	3	14	4	2-19	40.42089486	-79.9018068
511717453	Townsend Playground		Parks - Western	Townsend Park	CHARTIERS AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Townsend_Playground.jpg	Elliott	2	20	42003562600	5	20	6	1-17	40.44306351	-80.04015982
852729738	Tropical Playground		Parks - Western	Tropical Park	TROPICAL AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Tropical_Playground.jpg	Beechview	4	19	42003191600	5	19	6	4-28	40.42217581	-80.0240826
591336787	Tustin Playground		Parks - Schenley	Tustin Park	TUSTIN ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Tustin_Playground.jpg	Bluff	6	1	42003010300	3	1	2	2-1	40.43669452	-79.97657689
1374386417	Vanucci Playground		Parks - Western	Vanucci Park	ORANGEWOOD AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Vanucci_Playground.jpg	Beechview	4	19	42003191600	5	19	6	4-28	40.41472429	-80.01910492
1159646462	Vietnam Veteran's Playground		Parks - Schenley	Schenley Park	OVERLOOK DR	https://tools.wprdc.org/images/pittsburgh/playgrounds/Vietnam_Veteran's_Playground.jpg	Squirrel Hill South	5	14	42003980500	3	14	4	2-8	40.43422295	-79.94423872
937517112	Vincennes Playground		Parks - Schenley	Vincennes Park	WANDLESS ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Vincennes_Playground.jpg	Middle Hill	6	5	42003050100	3	5	2	2-5	40.45128325	-79.96741528
826850269	Wabash Playground		Parks - Western	Wabash Park	WABASH ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Wabash_Playground.jpg	West End	2	20	42003562600	5	20	6	1-17	40.43969206	-80.03405297
1243066156	Warrington Playground		Parks - Southern	Warrington Park	E WARRINGTON AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Warrington_Playground.jpg	Beltzhoover	3	18	42003562400	5	18	3	4-5	40.42130573	-80.00123792
